macron	ukraine	262
azov	ukrainian	188
ukrainecrisis	us	4
slavaukraini	ukraine	74
russian	syrian	76
mariupol	syrian	68
azov	syrian	66
moscow	ukrainerussiawar	138
donbass	ukraina	40
marioupol	ukraine	320
russiainvadedukraine	ukraineunderattack	28
afp	ukraine	116
sumy	ukraine	336
german	sumy	92
mykolaiv	russiainvadedukraine	58
mykolaiv	standwithukraine	228
russiainvadedukraine	russian	50
russian	standwithukraine	228
russiainvadedukraine	standwithukraine	132
icj	ukraine	54
biden	ukraine	384
deepfake	russia	230
russia	zelensky	432
crypto	cryptocurrency	154
kremlin	ukrainian	164
putin	ukrainian	868
kyiv	ukrainian	40
kiev	rusia	100
peace	war	82
stopputin	war	100
peace	ukraina	86
stopputin	ukraina	100
peace	stopputin	80
russia	uk	132
uk	ukraine	332
uk	ukraina	10
ukraine	update	72
update	zelensky	104
bundestag	update	2
odessa	ukrainian	52
mariupol	russland	40
mariupol	putin	132
luhansk	war	8
luhansk	ukraine	110
luhansk	ukrainerussiawar	68
russian	russianukrainianwar	250
russian	russiaukrainewar	140
russianukrainianwar	ukrainewar	54
russiaukrainewar	ukrainewar	152
russianukrainianwar	russiaukrainewar	26
russiaukrainewar	ukrainerussiawar	342
biden	poutine	102
lavrov	poutine	2
lavrov	ukraine	18
putinisawarcriminal	standwithukraine	490
news	ukrainerussiawar	168
biden	zelensky	130
biden	macron	32
donetsk	russian	26
russland	stopthewar	10
luhansk	melitopol	186
odessa	ukraine	290
odessa	russian	26
russiaukrainewar	ukraine	498
kiev	russie	112
azov	ukraine	138
azov	russia	32
azov	putin	6
azov	foxnews	2
foxnews	putin	144
polish	ukrainian	18
mykolaiv	russianarmy	6
kyiv	stopwar	1420
stopwar	ukraine	320
stoprussia	ukraina	58
kiev	stoprussia	32
stoprussia	stopwar	82
kiev	stopputin	20
stopwar	ukraina	54
kiev	stopwar	30
russian	us	270
standwithukraine	stoprussianaggression	88
bitcoin	ukraine	134
moscow	us	22
nato	ukraineunderattack	54
france	usa	62
macron	usa	4
biden	france	2
france	macron	52
nato	peace	8
kharkiv	russian	348
moldova	romania	14
romania	ukrainian	12
moldova	ukrainian	18
donetsk	ukrainian	48
mariupol	ukrainewar	112
guerra	ukrainewar	6
